Size 5075 
 1.0454020e+08 1.0348387e+08-0.0000000e+00-0.0000000e+00 2.4404591e+08
 1.0456048e+08 1.0343857e+08-3.5958940e-04-3.5958940e-04 2.4403841e+08
 1.0454659e+08 1.0345896e+08-0.0000000e+00-0.0000000e+00 2.4405024e+08
 1.0450615e+08 1.0351887e+08-3.5803766e-04-3.5803766e-04 2.4406489e+08
 1.0440090e+08 1.0326851e+08-0.0000000e+00-0.0000000e+00 2.4367185e+08
 1.0411586e+08 1.0351813e+08-3.5653104e-04-3.5653104e-04 2.4177558e+08
 1.0292859e+08 1.0173369e+08-3.5651338e-04-3.5651338e-04 2.4016690e+08
 1.0300770e+08 1.0297570e+08-3.5470490e-04-3.5470490e-04 2.4056847e+08
 1.0164652e+08 1.0351039e+08-0.0000000e+00-0.0000000e+00 2.4032351e+08
 1.0284956e+08 1.0188196e+08-3.6399046e-04-3.6399046e-04 2.4020392e+08
 1.0266961e+08 1.0346979e+08-0.0000000e+00-0.0000000e+00 2.4067658e+08
 1.0291618e+08 1.0235654e+08-3.6847731e-04-3.6847731e-04 2.4043091e+08
 1.0314573e+08 1.0148358e+08-3.7903214e-04-3.7903214e-04 2.4024978e+08
 1.0322524e+08 1.0206563e+08-3.7900885e-04-3.7900885e-04 2.4079188e+08
 1.0343834e+08 1.0241768e+08-3.7837459e-04-3.7837459e-04 2.4148123e+08
 1.0372372e+08 1.0268851e+08-3.7800499e-04-3.7800499e-04 2.4214184e+08
 1.0357053e+08 1.0358255e+08-3.7862608e-04-3.7862608e-04 2.4237639e+08
 1.0392547e+08 1.0384188e+08-3.7870401e-04-3.7870401e-04 2.4257312e+08
 1.0523953e+08 1.0305298e+08-3.8283538e-04-3.8283538e-04 2.4276255e+08
 1.0387609e+08 1.0305482e+08-0.0000000e+00-0.0000000e+00 2.4252631e+08
 1.0391986e+08 1.0336895e+08-0.0000000e+00-0.0000000e+00 2.4278209e+08
 1.0408891e+08 1.0303284e+08-3.7029996e-04-3.7029996e-04 2.4295664e+08
 1.0423389e+08 1.0316101e+08-0.0000000e+00-0.0000000e+00 2.4329216e+08
 1.0430833e+08 1.0364085e+08-0.0000000e+00-0.0000000e+00 2.4360612e+08
 1.0436035e+08 1.0392777e+08-0.0000000e+00-0.0000000e+00 2.4385909e+08
 1.0438065e+08 1.0310827e+08-3.5878770e-04-3.5878770e-04 2.4369155e+08
 1.0426915e+08 1.0503894e+08-3.6426899e-04-3.6426899e-04 2.4432445e+08
 1.0464356e+08 1.0366455e+08-3.6434692e-04-3.6434692e-04 2.4433019e+08
